DEPENDENCIA,No.,APELLIDOS Y NOMBRES,TITULAR DEL CARGO,GENERO,DOCUMENTO,FECHA INGRESO,CARGO,CODIGO,GRADO,SUELDO,GASTOS REP.,FECHA CORTE,HOY,DIAS TOTALES,AÑOS,MESES,PERIODOS,OBSERVACIONES,TIPO VINCULACION,REVISION PLANTA
SECRETARÍA DE AGRICULTURA,181,TORRES CARLOS ANDRÉS,,M,1000067149,2022-10-01,PROFESIONAL ESPECIALIZADO,231,9,2680000,,2026-04-01,2026-05-22,82,1,9,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE DESARROLLO EMPRESARIAL,182,ROJAS DIANA CAROLINA,,F,1000067978,2023-11-02,ASESOR,232,10,2860000,,2026-05-02,2026-05-22,83,2,10,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE TURISMO,183,MORENO JUAN SEBASTIÁN,,F,1000068807,2024-12-03,SECRETARIO DE DESPACHO,233,11,3040000,,2026-06-03,2026-05-22,84,3,11,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE TIC Y GOBIERNO ABIERTO,184,GÓMEZ PAULA ANDREA,,M,1000069636,2025-01-04,PROFESIONAL UNIVERSITARIO,234,0,3220000,,2026-01-04,2026-05-22,85,0,0,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
DESPACHO DEL GOBERNADOR,185,CASTRO MIGUEL ÁNGEL,,F,1000070465,2021-02-05,TÉCNICO ADMINISTRATIVO,235,1,3400000,,2026-02-05,2026-05-22,86,1,1,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE PLANEACIÓN,186,SILVA NATALIA FERNANDA,,F,1000071294,2022-03-06,AUXILIAR ADMINISTRATIVO,236,2,3580000,,2026-03-06,2026-05-22,87,2,2,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE HACIENDA,187,VARGAS ANDRÉS FELIPE,,M,1000072123,2023-04-07,PROFESIONAL ESPECIALIZADO,237,3,3760000,,2026-04-07,2026-05-22,88,3,3,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE CONTRATACIÓN,188,RODRÍGUEZ MARÍA CAMILA,,F,1000072952,2024-05-08,ASESOR,238,4,3940000,,2026-05-08,2026-05-22,89,0,4,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA GENERAL,189,HERRERA SANTIAGO,,F,1000073781,2025-06-09,SECRETARIO DE DESPACHO,239,5,4120000,,2026-06-09,2026-05-22,90,1,5,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE GOBIERNO Y ACCIÓN COMUNAL,190,PARDO VALENTINA,,M,1000074610,2021-07-10,PROFESIONAL UNIVERSITARIO,240,6,4300000,,2026-01-10,2026-05-22,91,2,6,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE INTEGRACIÓN SOCIAL,191,CÁRDENAS JORGE IVÁN,,F,1000075439,2022-08-11,TÉCNICO ADMINISTRATIVO,241,7,4480000,,2026-02-11,2026-05-22,92,3,7,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE EDUCACIÓN,192,PRIETO MÓNICA ALEJANDRA,,F,1000076268,2023-09-12,AUXILIAR ADMINISTRATIVO,242,8,4660000,,2026-03-12,2026-05-22,93,0,8,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE CULTURA Y PATRIMONIO,193,SUÁREZ DANIEL ESTEBAN,,M,1000077097,2024-10-13,PROFESIONAL ESPECIALIZADO,243,9,4840000,,2026-04-13,2026-05-22,94,1,9,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE SALUD,194,NIÑO CLAUDIA PATRICIA,,F,1000077926,2025-11-14,ASESOR,244,10,5020000,,2026-05-14,2026-05-22,95,2,10,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE INFRAESTRUCTURA PÚBLICA,195,RINCÓN CAROLINA,,F,1000078755,2021-12-15,SECRETARIO DE DESPACHO,245,11,5200000,,2026-06-15,2026-05-22,96,3,11,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE MINAS Y ENERGÍA,196,MARTÍNEZ PÉREZ LAURA,,M,1000079584,2022-01-16,PROFESIONAL UNIVERSITARIO,246,0,5380000,,2026-01-16,2026-05-22,97,0,0,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE AMBIENTE Y DESARROLLO SOSTENIBLE,197,TORRES CARLOS ANDRÉS,,F,1000080413,2023-02-17,TÉCNICO ADMINISTRATIVO,247,1,5560000,,2026-02-17,2026-05-22,98,1,1,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE AGRICULTURA,198,ROJAS DIANA CAROLINA,,F,1000081242,2024-03-18,AUXILIAR ADMINISTRATIVO,248,2,5740000,,2026-03-18,2026-05-22,99,2,2,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE DESARROLLO EMPRESARIAL,199,MORENO JUAN SEBASTIÁN,,M,1000082071,2025-04-19,PROFESIONAL ESPECIALIZADO,249,3,5920000,,2026-04-19,2026-05-22,100,3,3,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE TURISMO,200,GÓMEZ PAULA ANDREA,,F,1000082900,2021-05-20,ASESOR,200,4,2500000,,2026-05-20,2026-05-22,101,0,4,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE TIC Y GOBIERNO ABIERTO,201,CASTRO MIGUEL ÁNGEL,,F,1000083729,2022-06-21,SECRETARIO DE DESPACHO,201,5,2680000,,2026-06-21,2026-05-22,102,1,5,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
DESPACHO DEL GOBERNADOR,202,SILVA NATALIA FERNANDA,,M,1000084558,2023-07-22,PROFESIONAL UNIVERSITARIO,202,6,2860000,,2026-01-22,2026-05-22,103,2,6,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE PLANEACIÓN,203,VARGAS ANDRÉS FELIPE,,F,1000085387,2024-08-23,TÉCNICO ADMINISTRATIVO,203,7,3040000,,2026-02-23,2026-05-22,104,3,7,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE HACIENDA,204,RODRÍGUEZ MARÍA CAMILA,,F,1000086216,2025-09-24,AUXILIAR ADMINISTRATIVO,204,8,3220000,,2026-03-24,2026-05-22,105,0,8,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE CONTRATACIÓN,205,HERRERA SANTIAGO,,M,1000087045,2021-10-25,PROFESIONAL ESPECIALIZADO,205,9,3400000,,2026-04-25,2026-05-22,106,1,9,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA GENERAL,206,PARDO VALENTINA,,F,1000087874,2022-11-26,ASESOR,206,10,3580000,,2026-05-26,2026-05-22,107,2,10,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE GOBIERNO Y ACCIÓN COMUNAL,207,CÁRDENAS JORGE IVÁN,,F,1000088703,2023-12-27,SECRETARIO DE DESPACHO,207,11,3760000,,2026-06-27,2026-05-22,108,3,11,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE INTEGRACIÓN SOCIAL,208,PRIETO MÓNICA ALEJANDRA,,M,1000089532,2024-01-01,PROFESIONAL UNIVERSITARIO,208,0,3940000,,2026-01-01,2026-05-22,109,0,0,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE EDUCACIÓN,209,SUÁREZ DANIEL ESTEBAN,,F,1000090361,2025-02-02,TÉCNICO ADMINISTRATIVO,209,1,4120000,,2026-02-02,2026-05-22,110,1,1,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE CULTURA Y PATRIMONIO,210,NIÑO CLAUDIA PATRICIA,,F,1000091190,2021-03-03,AUXILIAR ADMINISTRATIVO,210,2,4300000,,2026-03-03,2026-05-22,111,2,2,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE SALUD,211,RINCÓN CAROLINA,,M,1000092019,2022-04-04,PROFESIONAL ESPECIALIZADO,211,3,4480000,,2026-04-04,2026-05-22,112,3,3,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE INFRAESTRUCTURA PÚBLICA,212,MARTÍNEZ PÉREZ LAURA,,F,1000092848,2023-05-05,ASESOR,212,4,4660000,,2026-05-05,2026-05-22,113,0,4,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE MINAS Y ENERGÍA,213,TORRES CARLOS ANDRÉS,,F,1000093677,2024-06-06,SECRETARIO DE DESPACHO,213,5,4840000,,2026-06-06,2026-05-22,114,1,5,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE AMBIENTE Y DESARROLLO SOSTENIBLE,214,ROJAS DIANA CAROLINA,,M,1000094506,2025-07-07,PROFESIONAL UNIVERSITARIO,214,6,5020000,,2026-01-07,2026-05-22,115,2,6,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE AGRICULTURA,215,MORENO JUAN SEBASTIÁN,,F,1000095335,2021-08-08,TÉCNICO ADMINISTRATIVO,215,7,5200000,,2026-02-08,2026-05-22,116,3,7,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE DESARROLLO EMPRESARIAL,216,GÓMEZ PAULA ANDREA,,F,1000096164,2022-09-09,AUXILIAR ADMINISTRATIVO,216,8,5380000,,2026-03-09,2026-05-22,117,0,8,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE TURISMO,217,CASTRO MIGUEL ÁNGEL,,M,1000096993,2023-10-10,PROFESIONAL ESPECIALIZADO,217,9,5560000,,2026-04-10,2026-05-22,118,1,9,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE TIC Y GOBIERNO ABIERTO,218,SILVA NATALIA FERNANDA,,F,1000097822,2024-11-11,ASESOR,218,10,5740000,,2026-05-11,2026-05-22,119,2,10,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
DESPACHO DEL GOBERNADOR,219,VARGAS ANDRÉS FELIPE,,F,1000098651,2025-12-12,SECRETARIO DE DESPACHO,219,11,5920000,,2026-06-12,2026-05-22,120,3,11,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE PLANEACIÓN,220,RODRÍGUEZ MARÍA CAMILA,,M,1000099480,2021-01-13,PROFESIONAL UNIVERSITARIO,220,0,2500000,,2026-01-13,2026-05-22,121,0,0,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE HACIENDA,221,HERRERA SANTIAGO,,F,1000100309,2022-02-14,TÉCNICO ADMINISTRATIVO,221,1,2680000,,2026-02-14,2026-05-22,122,1,1,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE CONTRATACIÓN,222,PARDO VALENTINA,,F,1000101138,2023-03-15,AUXILIAR ADMINISTRATIVO,222,2,2860000,,2026-03-15,2026-05-22,123,2,2,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA GENERAL,223,CÁRDENAS JORGE IVÁN,,M,1000101967,2024-04-16,PROFESIONAL ESPECIALIZADO,223,3,3040000,,2026-04-16,2026-05-22,124,3,3,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE GOBIERNO Y ACCIÓN COMUNAL,224,PRIETO MÓNICA ALEJANDRA,,F,1000102796,2025-05-17,ASESOR,224,4,3220000,,2026-05-17,2026-05-22,125,0,4,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE INTEGRACIÓN SOCIAL,225,SUÁREZ DANIEL ESTEBAN,,F,1000103625,2021-06-18,SECRETARIO DE DESPACHO,225,5,3400000,,2026-06-18,2026-05-22,126,1,5,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE EDUCACIÓN,226,NIÑO CLAUDIA PATRICIA,,M,1000104454,2022-07-19,PROFESIONAL UNIVERSITARIO,226,6,3580000,,2026-01-19,2026-05-22,1,2,6,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE CULTURA Y PATRIMONIO,227,RINCÓN CAROLINA,,F,1000105283,2023-08-20,TÉCNICO ADMINISTRATIVO,227,7,3760000,,2026-02-20,2026-05-22,2,3,7,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE SALUD,228,MARTÍNEZ PÉREZ LAURA,,F,1000106112,2024-09-21,AUXILIAR ADMINISTRATIVO,228,8,3940000,,2026-03-21,2026-05-22,3,0,8,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE INFRAESTRUCTURA PÚBLICA,229,TORRES CARLOS ANDRÉS,,M,1000106941,2025-10-22,PROFESIONAL ESPECIALIZADO,229,9,4120000,,2026-04-22,2026-05-22,4,1,9,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE MINAS Y ENERGÍA,230,ROJAS DIANA CAROLINA,,F,1000107770,2021-11-23,ASESOR,230,10,4300000,,2026-05-23,2026-05-22,5,2,10,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE AMBIENTE Y DESARROLLO SOSTENIBLE,231,MORENO JUAN SEBASTIÁN,,F,1000108599,2022-12-24,SECRETARIO DE DESPACHO,231,11,4480000,,2026-06-24,2026-05-22,6,3,11,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE AGRICULTURA,232,GÓMEZ PAULA ANDREA,,M,1000109428,2023-01-25,PROFESIONAL UNIVERSITARIO,232,0,4660000,,2026-01-25,2026-05-22,7,0,0,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE DESARROLLO EMPRESARIAL,233,CASTRO MIGUEL ÁNGEL,,F,1000110257,2024-02-26,TÉCNICO ADMINISTRATIVO,233,1,4840000,,2026-02-26,2026-05-22,8,1,1,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE TURISMO,234,SILVA NATALIA FERNANDA,,F,1000111086,2025-03-27,AUXILIAR ADMINISTRATIVO,234,2,5020000,,2026-03-27,2026-05-22,9,2,2,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE TIC Y GOBIERNO ABIERTO,235,VARGAS ANDRÉS FELIPE,,M,1000111915,2021-04-01,PROFESIONAL ESPECIALIZADO,235,3,5200000,,2026-04-01,2026-05-22,10,3,3,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
DESPACHO DEL GOBERNADOR,236,RODRÍGUEZ MARÍA CAMILA,,F,1000112744,2022-05-02,ASESOR,236,4,5380000,,2026-05-02,2026-05-22,11,0,4,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE PLANEACIÓN,237,HERRERA SANTIAGO,,F,1000113573,2023-06-03,SECRETARIO DE DESPACHO,237,5,5560000,,2026-06-03,2026-05-22,12,1,5,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE HACIENDA,238,PARDO VALENTINA,,M,1000114402,2024-07-04,PROFESIONAL UNIVERSITARIO,238,6,5740000,,2026-01-04,2026-05-22,13,2,6,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE CONTRATACIÓN,239,CÁRDENAS JORGE IVÁN,,F,1000115231,2025-08-05,TÉCNICO ADMINISTRATIVO,239,7,5920000,,2026-02-05,2026-05-22,14,3,7,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA GENERAL,240,PRIETO MÓNICA ALEJANDRA,,F,1000116060,2021-09-06,AUXILIAR ADMINISTRATIVO,240,8,2500000,,2026-03-06,2026-05-22,15,0,8,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE GOBIERNO Y ACCIÓN COMUNAL,241,SUÁREZ DANIEL ESTEBAN,,M,1000116889,2022-10-07,PROFESIONAL ESPECIALIZADO,241,9,2680000,,2026-04-07,2026-05-22,16,1,9,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE INTEGRACIÓN SOCIAL,242,NIÑO CLAUDIA PATRICIA,,F,1000117718,2023-11-08,ASESOR,242,10,2860000,,2026-05-08,2026-05-22,17,2,10,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE EDUCACIÓN,243,RINCÓN CAROLINA,,F,1000118547,2024-12-09,SECRETARIO DE DESPACHO,243,11,3040000,,2026-06-09,2026-05-22,18,3,11,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE CULTURA Y PATRIMONIO,244,MARTÍNEZ PÉREZ LAURA,,M,1000119376,2025-01-10,PROFESIONAL UNIVERSITARIO,244,0,3220000,,2026-01-10,2026-05-22,19,0,0,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE SALUD,245,TORRES CARLOS ANDRÉS,,F,1000120205,2021-02-11,TÉCNICO ADMINISTRATIVO,245,1,3400000,,2026-02-11,2026-05-22,20,1,1,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE INFRAESTRUCTURA PÚBLICA,246,ROJAS DIANA CAROLINA,,F,1000121034,2022-03-12,AUXILIAR ADMINISTRATIVO,246,2,3580000,,2026-03-12,2026-05-22,21,2,2,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE MINAS Y ENERGÍA,247,MORENO JUAN SEBASTIÁN,,M,1000121863,2023-04-13,PROFESIONAL ESPECIALIZADO,247,3,3760000,,2026-04-13,2026-05-22,22,3,3,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE AMBIENTE Y DESARROLLO SOSTENIBLE,248,GÓMEZ PAULA ANDREA,,F,1000122692,2024-05-14,ASESOR,248,4,3940000,,2026-05-14,2026-05-22,23,0,4,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE AGRICULTURA,249,CASTRO MIGUEL ÁNGEL,,F,1000123521,2025-06-15,SECRETARIO DE DESPACHO,249,5,4120000,,2026-06-15,2026-05-22,24,1,5,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE DESARROLLO EMPRESARIAL,250,SILVA NATALIA FERNANDA,,M,1000124350,2021-07-16,PROFESIONAL UNIVERSITARIO,200,6,4300000,,2026-01-16,2026-05-22,25,2,6,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE TURISMO,251,VARGAS ANDRÉS FELIPE,,F,1000125179,2022-08-17,TÉCNICO ADMINISTRATIVO,201,7,4480000,,2026-02-17,2026-05-22,26,3,7,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE TIC Y GOBIERNO ABIERTO,252,RODRÍGUEZ MARÍA CAMILA,,F,1000126008,2023-09-18,AUXILIAR ADMINISTRATIVO,202,8,4660000,,2026-03-18,2026-05-22,27,0,8,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
DESPACHO DEL GOBERNADOR,253,HERRERA SANTIAGO,,M,1000126837,2024-10-19,PROFESIONAL ESPECIALIZADO,203,9,4840000,,2026-04-19,2026-05-22,28,1,9,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE PLANEACIÓN,254,PARDO VALENTINA,,F,1000127666,2025-11-20,ASESOR,204,10,5020000,,2026-05-20,2026-05-22,29,2,10,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE HACIENDA,255,CÁRDENAS JORGE IVÁN,,F,1000128495,2021-12-21,SECRETARIO DE DESPACHO,205,11,5200000,,2026-06-21,2026-05-22,30,3,11,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE CONTRATACIÓN,256,PRIETO MÓNICA ALEJANDRA,,M,1000129324,2022-01-22,PROFESIONAL UNIVERSITARIO,206,0,5380000,,2026-01-22,2026-05-22,31,0,0,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA GENERAL,257,SUÁREZ DANIEL ESTEBAN,,F,1000130153,2023-02-23,TÉCNICO ADMINISTRATIVO,207,1,5560000,,2026-02-23,2026-05-22,32,1,1,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE GOBIERNO Y ACCIÓN COMUNAL,258,NIÑO CLAUDIA PATRICIA,,F,1000130982,2024-03-24,AUXILIAR ADMINISTRATIVO,208,2,5740000,,2026-03-24,2026-05-22,33,2,2,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE INTEGRACIÓN SOCIAL,259,RINCÓN CAROLINA,,M,1000131811,2025-04-25,PROFESIONAL ESPECIALIZADO,209,3,5920000,,2026-04-25,2026-05-22,34,3,3,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE EDUCACIÓN,260,MARTÍNEZ PÉREZ LAURA,,F,1000132640,2021-05-26,ASESOR,210,4,2500000,,2026-05-26,2026-05-22,35,0,4,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE CULTURA Y PATRIMONIO,261,TORRES CARLOS ANDRÉS,,F,1000133469,2022-06-27,SECRETARIO DE DESPACHO,211,5,2680000,,2026-06-27,2026-05-22,36,1,5,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE SALUD,262,ROJAS DIANA CAROLINA,,M,1000134298,2023-07-01,PROFESIONAL UNIVERSITARIO,212,6,2860000,,2026-01-01,2026-05-22,37,2,6,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE INFRAESTRUCTURA PÚBLICA,263,MORENO JUAN SEBASTIÁN,,F,1000135127,2024-08-02,TÉCNICO ADMINISTRATIVO,213,7,3040000,,2026-02-02,2026-05-22,38,3,7,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE MINAS Y ENERGÍA,264,GÓMEZ PAULA ANDREA,,F,1000135956,2025-09-03,AUXILIAR ADMINISTRATIVO,214,8,3220000,,2026-03-03,2026-05-22,39,0,8,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE AMBIENTE Y DESARROLLO SOSTENIBLE,265,CASTRO MIGUEL ÁNGEL,,M,1000136785,2021-10-04,PROFESIONAL ESPECIALIZADO,215,9,3400000,,2026-04-04,2026-05-22,40,1,9,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE AGRICULTURA,266,SILVA NATALIA FERNANDA,,F,1000137614,2022-11-05,ASESOR,216,10,3580000,,2026-05-05,2026-05-22,41,2,10,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE DESARROLLO EMPRESARIAL,267,VARGAS ANDRÉS FELIPE,,F,1000138443,2023-12-06,SECRETARIO DE DESPACHO,217,11,3760000,,2026-06-06,2026-05-22,42,3,11,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
