IdEducacion,Estudios,Matrícula profesional,Institución estudios,Postgrado,Institución postgrado,Diplomado o CAP SENA,Correo institucional
EDU427,Profesional,MP-700517,Rico-Alarcón,,Morales PLC,,joangomez@vega.com
EDU428,Técnico,,Hernández Ltd,,Ortiz PLC,,rodriguezdany@medina.com
EDU429,Profesional,MP-986040,"Sánchez, García and Ortiz",,"Ramírez, Orozco and García","LIDERAZGO Y DEMOCRACIA, GESTION PUBLICA Y CREACION Y ADMINISTRACION DE EMPRESAS",alexander00@hernandez-cuellar.net
EDU430,Maestría,MP-226161,Bedoya and Sons,Maestría,Lozano Inc,,mariamoreno@bedoya.com
EDU431,Profesional,MP-538774,Carvajal Ltd,,"Giraldo, Velandia and Fuentes",,griascos@lozano.com
EDU432,Especialización,MP-887715,"García, Cárdenas and Gómez",Especialización,"Parra, Silva and Salazar",,vargaskarol@pena.com
EDU433,Tecnólogo,,Arias-Santos,,Castillo and Sons,,erodriguez@martinez.com
EDU434,Profesional,MP-788281,"Fernández, Garcés and López",,Rincón-Martínez,,sanchezmaria@arias.info
EDU435,Maestría,MP-635590,"Quintero, Vargas and Montoya",Maestría,"Ojeda, Meneses and Benavides",,marcela50@mercado.com
EDU436,Tecnólogo,,"Orozco, Montes and Ospina",,Hernández LLC,,lilianaalarcon@gil.com
EDU437,Especialización,MP-557828,Bautista-Pulido,Especialización,Torres Group,,fmartinez@franco.com
EDU438,Profesional,MP-935869,Guevara and Sons,,Franco-Rangel,,cruzadriana@leon.net
EDU439,Profesional,MP-870746,Morales-Quiroga,,Calderón Ltd,,felixsanchez@buitrago.com
EDU440,Especialización,MP-436907,"Cabrera, Contreras and Suárez",Especialización,Roa-Pineda,,michaelordonez@gomez.net
EDU441,Bachiller,,Rodríguez Group,,Ramírez Ltd,,drios@ortiz.info
EDU442,Especialización,MP-212782,Chaparro-Pérez,Especialización,"Contreras, Hernández and Luna",,rubioerika@luna.com
EDU443,Profesional,MP-979989,"Camacho, Guzmán and Mosquera",,"Ríos, Serna and Palacios",DIPLOMADO EN GESTION DE BIBLIOTECAS PUBLICAS,oscarjimenez@garzon.org
EDU444,Especialización,MP-517168,Bejarano-Velásquez,Especialización,"Bolaños, Gil and Torres",,diazjorge@cortes.com
EDU445,Profesional,MP-507688,"Murillo, Castañeda and Palacios",,"García, Barragán and Ayala",GESTION PUBLICA,pedrocastellanos@castellanos-escobar.com
EDU446,Profesional,MP-762212,Rodríguez-Castillo,,"Ochoa, Paz and Gómez","DIPLOMADOS EN: GESTION DE PROYECTOS DE INVERSION PUBLICA Y REGALIAS, INSPECCION, CONTROL E INTERVENCION EN ASEGURAMIENTO Y FORTALECIMIENTO INSTITUCIONAL DEL REGIMEN SUBSIDIADO EN SALUD",ysanabria@palacios.com
EDU447,Maestría,MP-784647,"Alarcón, Valencia and Zambrano",Maestría,Restrepo-García,GESTION PUBLICA,vflorez@ordonez-medina.com
EDU448,Profesional,MP-699991,"Mesa, Arango and Benavides",,"Parra, Ramírez and Suárez",,ferney04@leon.com
EDU449,Profesional,MP-802974,Uribe-Valencia,,López-Salamanca,,duban06@vanegas.org
EDU450,Profesional,MP-953088,Bermúdez-Rodríguez,,Ayala Inc,CAP SECRETARIA GENERAL Y GESTION PUBLICA,gonzalezcarlos@aguilar-ortiz.com
EDU451,Profesional,MP-104809,"Escobar, Hernández and Perea",,Cabrera PLC,,patriciaramirez@arrieta-riascos.biz
EDU452,Maestría,MP-781777,"Ariza, Yepes and Moreno",Maestría,Hernández-Moreno,,miguel82@jaramillo.com
EDU453,Técnico,,"García, Campo and Rodríguez",,Saavedra-Hernández,,djimenez@zapata.com
EDU454,Especialización,MP-945633,López PLC,Especialización,Rivera PLC,TRABAJADOR CALIFICADO EN SECRETARIADO GENERAL,magalysandoval@rodriguez.com
EDU455,Especialización,MP-500511,Puentes Group,Especialización,Rodríguez Group,,edith16@bautista-perez.net
EDU456,Tecnólogo,,"Quintero, Mena and Camacho",,"Barrera, Ardila and Salazar",CAP SECRETARIA GENERAL,cmercado@marin.info
EDU457,Especialización,MP-228322,"Blanco, Agudelo and Aguilar",Especialización,"Sarmiento, Romero and Mesa",,agudelojuan@posada.com
EDU458,Bachiller,,"Escobar, Giraldo and Castellanos",,Velasco-Pérez,,yamileruiz@mendoza.com
EDU459,Profesional,MP-998254,Lozano PLC,,Patiño-Ordóñez,AUXILIAR DE CONTABILIDAD,urodriguez@mesa.info
EDU460,Especialización,MP-435441,Orozco-Barragán,Especialización,Sánchez-Corredor,,lcortes@lopez.net
EDU461,Bachiller,,Mendoza-Mora,,"Mejía, Sánchez and Posada",CAP SECRETARIA GENERAL,luisaocampo@angarita.biz
EDU462,Maestría,MP-157993,Rivera-Gómez,Maestría,Palacios Ltd,DIPLOMADO EN GESTION PUBLICA,diazgloria@rodriguez.net
EDU463,Maestría,MP-787995,Ospina-Perdomo,Maestría,Caicedo-González,"CREACION Y ADMINISTRACION DE EMPRESAS, CAP SENA E INFORMATICA Y COMPUTACION",roseroines@castro.com
EDU464,Tecnólogo,,Bolaños PLC,,"González, Rojas and Ortega",,aariza@sanchez.info
EDU465,Profesional,MP-819401,"Zambrano, Osorio and Campo",,Gómez LLC,DIPLOMADOS EN: INFORMACION TURISTICA PARA OPERADORES Y PRESTADORES DE SERVICIOS TURISTICOS Y FORTALECIMIENTO DE COMPETENCIAS PARA LA ADMINISTRACION DE SISTEMAS DE GESTION,bcaro@gonzalez.com
EDU466,Profesional,MP-728880,"Vargas, Sepúlveda and Andrade",,"Ramírez, Suárez and Restrepo",,ayalajhon@andrade.info
EDU467,Profesional,MP-367986,"Fuentes, Herrera and Hoyos",,Solano-Serrano,,gaitanmaria@murillo-salcedo.biz
EDU468,Profesional,MP-669936,"Aguirre, Rosero and Uribe",,Guzmán Inc,,german06@gonzalez-correa.org
EDU469,Especialización,MP-787220,Valencia-Amaya,Especialización,Montenegro PLC,,ruth61@morales.biz
EDU470,Maestría,MP-869666,"Carmona, Ramírez and Solano",Maestría,"Meneses, Cárdenas and Pinzón",GESTION PUBLICA Y CAP SECRETARIA GENERAL,milenaduarte@sarmiento.net
EDU471,Maestría,MP-950163,Guzmán-Cantillo,Maestría,Pérez LLC,,stiven85@cardona-becerra.biz
EDU472,Profesional,MP-301260,"Rincón, Palacios and Palacios",,"Cuéllar, Romero and Benavides",GESTION PUBLICA,mariagaleano@pineda-mosquera.com
EDU473,Profesional,MP-477539,García-Cuéllar,,"Morales, Erazo and Prieto",CREACION Y ADMINISTRACION DE EMPRESAS,santiagorivas@bejarano.com
EDU474,Maestría,MP-924143,Torres LLC,Maestría,Rivera Ltd,GESTION PUBLICA,alejandrohernandez@quintero.com
EDU475,Técnico,,Ramos-Lozano,,Paz Group,,rosa01@herrera-gallego.com
EDU476,Profesional,MP-192601,Díaz PLC,,"Rodríguez, Rincón and Rojas",DIPLOMADOS EN: GESTION PUBLICA Y FORTALECIMIENTO DE COMPETENCIAS PARA LA ADMINISTRACIÓN DE SISTEMAS DE GESTION,marybohorquez@villegas.com
EDU477,Tecnólogo,,Cano Ltd,,Carvajal LLC,,victorjimenez@sierra.com
EDU478,Profesional,MP-689716,Rojas Group,,"Castillo, Valencia and Guerra",,igarcia@rodriguez-arias.net
EDU479,Maestría,MP-516715,Moreno PLC,Maestría,"Velásquez, Beltrán and Mesa",,julianrivera@cortes.info
EDU480,Profesional,MP-256222,Sánchez Inc,,Muñoz PLC,,sariza@arias.com
EDU481,Tecnólogo,,"Ruiz, Torres and Rodríguez",,Torres-León,,maria30@navarro-castro.info
EDU482,Especialización,MP-557373,Sepúlveda Group,Especialización,"García, Hurtado and López",GESTION PUBLICA,guerrabeatriz@guerrero.info
EDU483,Especialización,MP-565453,"Valencia, Vargas and Arboleda",Especialización,"González, Lozano and Álvarez",,karenrodriguez@castro.com
EDU484,Técnico,,Barrios-Escobar,,"Murillo, Parada and Vargas",,mmunoz@rodriguez-gonzalez.org
EDU485,Profesional,MP-799309,"López, Parra and Gómez",,"Perdomo, Muñoz and Bedoya",,doris09@reyes-carvajal.info
EDU486,Profesional,MP-728864,"Serna, Arias and Torres",,Valencia-López,,estella04@alvarez-galeano.com
EDU487,Profesional,MP-710490,"Martínez, Ramos and Silva",,"Beltrán, Sepúlveda and Sánchez",,orlando09@ortiz-hoyos.org
EDU488,Especialización,MP-766246,Velásquez-Torres,Especialización,Ramírez-Niño,,jairosandoval@mercado.com
EDU489,Profesional,MP-172588,Suárez and Sons,,Orozco Ltd,,wsanchez@marin.org
EDU490,Profesional,MP-965264,"Camacho, Sánchez and López",,"García, Vanegas and Espitia",,vasquezsteven@saavedra.com
EDU491,Tecnólogo,,Narváez-Gutiérrez,,"Rivera, Vásquez and Pinzón",,zmurillo@camacho.com
EDU492,Especialización,MP-216739,López-Hernández,Especialización,Mesa-Murillo,,vilma67@salamanca-restrepo.net
EDU493,Bachiller,,Sánchez Inc,,"López, Ramírez and Ortega",,karenalvarez@cifuentes.com
EDU494,Profesional,MP-903585,Jiménez-Mesa,,Díaz and Sons,,ortegamaria@suarez-parra.com
EDU495,Profesional,MP-661931,"Cardona, Caballero and Gutiérrez",,Sánchez Group,,arrietacamilo@chavez.com
EDU496,Especialización,MP-114153,"Gamboa, Torres and Fernández",Especialización,"Acosta, Aguirre and López",CAP SECRETARIADO AUXILIAR,fernando75@gonzalez.com
EDU497,Profesional,MP-855343,"Díaz, Muñoz and Castrillón",,Vélez and Sons,,lsandoval@loaiza.info
EDU498,Tecnólogo,,"Bedoya, Vega and Murillo",,Navarro Ltd,,edgar43@arteaga.org
EDU499,Tecnólogo,,Rodríguez Inc,,"Buitrago, Gaviria and Barragán",,hsierra@velasco.com
EDU500,Especialización,MP-176077,"Pérez, Rendón and Navarro",Especialización,Suárez PLC,,andreamunoz@garcia.net
EDU501,Especialización,MP-531459,Murillo Inc,Especialización,"Bernal, Navarro and Marín",,bguerrero@gomez.com
EDU502,Profesional,MP-127723,Escobar PLC,,"Rojas, Peña and Pérez",,robinsonhoyos@arteaga.com
EDU503,Especialización,MP-697794,Rosero-Peña,Especialización,Olaya-García,,amparolara@garcia.com
EDU504,Profesional,MP-817406,Velásquez-Salazar,,García Ltd,,toroyesid@acevedo-lopez.info
EDU505,Profesional,MP-166234,Vargas-López,,"Zambrano, Herrera and Cortés",,javiertorres@pena-romero.net
EDU506,Profesional,MP-764560,Giraldo-Loaiza,,Figueroa Inc,,jennifersanabria@barbosa.net
EDU507,Especialización,MP-551015,Quintero Ltd,Especialización,"Rojas, Vásquez and Espinosa",,gabrielfonseca@herrera.com
EDU508,Técnico,,Mesa-Bermúdez,,"Castro, Gómez and Hernández",,cruzcamilo@uribe.com
EDU509,Especialización,MP-342717,Carvajal and Sons,Especialización,Durán-Acosta,,srodriguez@rendon.com
EDU510,Bachiller,,Ruiz and Sons,,"Murcia, Paz and Peña",,sofia96@benavides-velandia.org
EDU511,Especialización,MP-714641,López-González,Especialización,"Valencia, Arias and García",,luis22@camacho.com
EDU512,Maestría,MP-494274,"Jiménez, Moreno and Contreras",Maestría,Velasco-Orozco,,hugogarcia@garcia.org
EDU513,Técnico,,Ramírez Ltd,,Montes-López,,augustoarias@cuesta.com
EDU514,Profesional,MP-730152,Flórez-Sánchez,,Cortés Ltd,,torresjose@andrade.com
EDU515,Profesional,MP-182074,Velandia Inc,,Ávila-Martínez,,worozco@duarte.com
EDU516,Tecnólogo,,Galeano-Jiménez,,"Molina, Franco and Serna",,ricardo54@rodriguez-marin.com
EDU517,Especialización,MP-325160,Zapata-Martínez,Especialización,Muñoz-Rodríguez,,gloria46@carrillo-castro.net
EDU518,Tecnólogo,,"Mendoza, León and Patiño",,"Gómez, Duque and Velasco",,hernandezdaniel@lopez.info
EDU519,Profesional,MP-790417,"Vanegas, Martínez and Soto",,Barrios-Rodríguez,,stella78@santos.com
EDU520,Tecnólogo,,Romero Group,,"Zuluaga, Espitia and Ardila",,acevedoomar@valencia.biz
EDU521,Especialización,MP-487732,Martínez Group,Especialización,Rodríguez-García,,carlos46@loaiza.info
EDU522,Especialización,MP-803286,Sánchez-Valencia,Especialización,Córdoba-Molina,,jaime07@arango.com
EDU523,Profesional,MP-688365,Mantilla-Castellanos,,Bernal-Hernández,,castrojuliana@garcia.info
EDU524,Profesional,MP-346183,"Jaimes, Osorio and Rivera",,Sepúlveda Group,,katherinetorres@reyes.com
EDU525,Especialización,MP-713333,"Duarte, González and Bastidas",Especialización,Arias-Ospino,,juliethgutierrez@mora-cabrera.com
EDU526,Especialización,MP-962061,Sierra-Salas,Especialización,"Sierra, Anaya and Peña",,jhonnyescobar@arias.com
EDU527,Especialización,MP-550542,Cano-Córdoba,Especialización,"Cardozo, Bolaños and Giraldo",,florezana@ramirez.com
EDU528,Especialización,MP-538452,Prada-Ángel,Especialización,"Hernández, Gaviria and Vargas",,nilson44@ortiz.com
EDU529,Especialización,MP-348552,Pérez PLC,Especialización,"Guzmán, Quintero and García",,wrivera@valencia-roa.com
EDU530,Profesional,MP-455249,"Pérez, Contreras and Cardona",,Ríos-Cárdenas,,ldiaz@romero.org
EDU531,Técnico,,Trujillo-Henao,,Ramírez-Ordóñez,,dayana83@salcedo-lopez.com
EDU532,Profesional,MP-890144,Castañeda Group,,"Toro, Vergara and Díaz",,marlenyrincon@becerra.com
EDU533,Especialización,MP-314835,"Martínez, Solano and Arango",Especialización,Lozano Ltd,,silviabetancur@acosta-ramirez.com
EDU534,Profesional,MP-643176,Pérez-Serrano,,"Sánchez, Murillo and Castañeda",,monsalvemiguel@erazo-rojas.org
EDU535,Profesional,MP-628646,Barbosa-Cantillo,,"Rivera, Palacio and Quintero",,felipeportilla@perea-parra.com
EDU536,Especialización,MP-213550,"Hernández, Arteaga and Gómez",Especialización,"González, Guerrero and Medina",,manuel43@valencia-ramirez.com
EDU537,Maestría,MP-489878,"Guzmán, Carvajal and Díaz",Maestría,Molina PLC,,torrescarmen@salazar.com
EDU538,Técnico,,Patiño-Ortiz,,Ortega-Zuluaga,,hernandoleon@valencia.info
EDU539,Especialización,MP-892338,Galvis-Franco,Especialización,"Acevedo, Mosquera and Uribe",,wvargas@rivera.org
EDU540,Especialización,MP-135954,"Romero, Valencia and Fernández",Especialización,Álvarez-Gómez,,pazhenry@vasquez.net
EDU541,Especialización,MP-836400,"Díaz, Carrillo and Ruiz",Especialización,Quintero PLC,,rafaelgaviria@pulido.com
EDU542,Bachiller,,"Castro, González and Buitrago",,Triana-Medina,,lorena44@rojas.com
EDU543,Profesional,MP-244356,"Muñoz, Lozano and Martínez",,Durán Ltd,,laurarodriguez@perez.com
EDU544,Profesional,MP-989097,"Guerrero, Guerrero and Díaz",,Beltrán and Sons,,igutierrez@castellanos-hoyos.com
EDU545,Maestría,MP-856892,Rivera-Becerra,Maestría,"Vanegas, Arango and Serna",,slopez@bohorquez-montenegro.org
EDU546,Profesional,MP-698260,Velásquez-Rincón,,Rivera PLC,CURSO INTENSIVO DE PERCUSION DIPLOMADO EN FORTALECIMIENTO DE COMPETENCIAS PARA LA ADMINISTRACION DE SISTEMAS DE GESTION,ngomez@perez.com
EDU547,Profesional,MP-620985,"Gutiérrez, Peña and Rangel",,Gutiérrez and Sons,,francy40@restrepo-martinez.com
EDU548,Especialización,MP-783321,Rodríguez Inc,Especialización,Andrade LLC,,omairaramirez@osorio.com
EDU549,Especialización,MP-486821,"Ballesteros, Lara and Vargas",Especialización,Pérez-Bernal,,gonzalezvirginia@montes-parra.com
EDU550,Maestría,MP-249381,Restrepo Ltd,Maestría,Gil LLC,,luissierra@serrano.com
EDU551,Profesional,MP-775510,"Castillo, Quintero and Caicedo",,"Duque, Martínez and Giraldo",,carlos62@gonzalez.com
EDU552,Especialización,MP-689921,Rodríguez Inc,Especialización,Duque Group,,duransteven@garzon-londono.com
EDU553,Especialización,MP-963663,López-Villa,Especialización,"Hernández, Rivera and Gómez",,hugocabrera@martinez.org
EDU554,Especialización,MP-998320,Delgado Ltd,Especialización,"García, López and Gutiérrez",,obandoandrea@patino-romero.biz
EDU555,Especialización,MP-592313,Triana-Rojas,Especialización,"Ramírez, Bernal and Morales",,gaitancamilo@hoyos-escobar.info
EDU556,Especialización,MP-532659,"Arias, Maldonado and Gómez",Especialización,Rodríguez LLC,,obandomauricio@saavedra.info
EDU557,Profesional,MP-757162,Díaz and Sons,,Valencia-Vargas,AUXILIAR DE ENFERMERIA,gloriazuluaga@nino-molina.com
EDU558,Profesional,MP-296582,"Escobar, Salazar and Muñoz",,Chávez Inc,,ztorres@angulo-florez.org
EDU559,Especialización,MP-593948,Martínez-Ayala,Especialización,Rueda-Medina,,jennybejarano@tamayo.net
EDU560,Especialización,MP-906388,Ríos LLC,Especialización,"Ríos, Rodríguez and Gómez",,ramirezyeimy@galindo.info
EDU561,Profesional,MP-282958,Tovar-Hernández,,"Bonilla, Contreras and Rojas",,daniel89@camacho.com
EDU562,Profesional,MP-507505,Torres-Espitia,,"Rodríguez, Acosta and Ortiz",,rosagonzalez@hoyos.com
EDU563,Tecnólogo,,"Acosta, Rincón and Chávez",,Sánchez LLC,,alfonso42@vasquez.org
EDU564,Profesional,MP-911774,López LLC,,Alvarado-Guerrero,,hermes25@londono.com
EDU565,Tecnólogo,,Cifuentes-Méndez,,Osorio-Jiménez,,igarzon@arboleda.com
EDU566,Especialización,MP-553449,"Salgado, Olaya and Peña",Especialización,"Hernández, González and Fuentes",,sanchezluz@ariza.com
EDU567,Profesional,MP-452228,Angulo Inc,,Cortés-Arias,,adolfo22@palacios-gonzalez.com
EDU568,Especialización,MP-382762,Pineda PLC,Especialización,García Inc,,pintojose@barbosa.org
EDU569,Técnico,,León Ltd,,"Guerra, López and Molina",,jhonny93@fonseca.com
EDU570,Especialización,MP-928965,Cárdenas and Sons,Especialización,Bedoya Group,,ordonezleidy@montoya-santos.com
EDU571,Profesional,MP-216421,"Soto, Meza and Moreno",,Gutiérrez-Serna,,carlos07@riascos-cifuentes.org
EDU572,Especialización,MP-237084,Moreno Ltd,Especialización,"Espinosa, Córdoba and Hurtado",,barreraalexander@lopez-granados.net
EDU573,Profesional,MP-149067,Díaz Ltd,,Carrillo-Vargas,,clemenciaflorez@rangel.net
EDU574,Especialización,MP-226498,Carvajal and Sons,Especialización,Suárez Group,,albertomedina@garzon.info
EDU575,Especialización,MP-184080,Oviedo PLC,Especialización,Ruiz Ltd,,manuel36@naranjo.com
EDU576,Maestría,MP-658830,"Vásquez, Serrano and Sánchez",Maestría,Anaya-Torres,"CAP SECRETARIADO, DIPLOMADO EN FORTALECIMIENTO DE COMPETENCIAS PARA LA ADMINISTRACION DE SISTEMAS DE GESTION",astrid58@herrera.com
EDU577,Técnico,,Marín Inc,,Rodríguez-Gómez,,julieth49@gonzalez.com
EDU578,Especialización,MP-580761,Cárdenas Group,Especialización,Melo-López,,sanchezclaudia@alvarez-gonzalez.com
EDU579,Profesional,MP-600098,Burgos LLC,,Buitrago-Triana,,galeanoandrea@vallejo.com
EDU580,Tecnólogo,,"Vargas, González and González",,Córdoba and Sons,CAP SECRETARIA GENERAL,elizabethcastillo@castro.com
EDU581,Profesional,MP-286626,Buitrago Ltd,,Muñoz-Cano,GESTION PUBLICA Y CAP SECRETARIA GENERAL,rene57@loaiza.info
EDU582,Profesional,MP-567835,"Valencia, Gómez and Vargas",,Álvarez-Herrera,,diazeder@ortiz.com
EDU583,Especialización,MP-527826,"Torres, Montes and Peña",Especialización,Díaz and Sons,,vivianabernal@perez.org
EDU584,Profesional,MP-793206,Hernández and Sons,,Castillo-Arroyo,,miguel23@hernandez.org
EDU585,Especialización,MP-915131,Bohórquez Ltd,Especialización,Pacheco-Forero,,leidy73@orozco-jaimes.com
EDU586,Maestría,MP-254245,Castañeda Ltd,Maestría,Álvarez-González,CREACION Y ADMON DE EMPRESAS Y SECRETARIADO GENERAL,vsalazar@ortiz.com
EDU587,Técnico,,"Aguirre, Meneses and Medina",,"Serrano, Gómez and Mercado",,alexanderrodriguez@vergara.org
EDU588,Especialización,MP-497686,Silva-Ávila,Especialización,García-Méndez,GESTION PUBLICA,anacamacho@quintero.com
EDU589,Técnico,,Quiroga-Velásquez,,León Group,GESTION PUBLICA,sandra81@blanco.info
EDU590,Especialización,MP-721820,Jiménez Ltd,Especialización,"Arias, Quiroga and Cortés",,osanchez@cano.com
EDU591,Profesional,MP-327645,Silva-Ramos,,Ortega-Murillo,CAP SECRETARIADO,perezyulieth@espinosa.com
EDU592,Especialización,MP-165318,Mendoza-Castillo,Especialización,Lara-Giraldo,,maria34@prieto-gomez.com
EDU593,Especialización,MP-804513,"Montenegro, Ordóñez and Córdoba",Especialización,"Caballero, Méndez and Rendón",,krodriguez@moreno.com
EDU594,Profesional,MP-117640,"Castro, Méndez and Fonseca",,Martínez and Sons,,lmoreno@acosta.org
EDU595,Maestría,MP-301579,Ayala and Sons,Maestría,Jaramillo Ltd,,miguelmejia@pabon.info
EDU596,Especialización,MP-144738,Hernández and Sons,Especialización,"Acevedo, Delgado and Pineda",,munozvanessa@nino.biz
EDU597,Especialización,MP-770398,Ardila PLC,Especialización,Reyes PLC,,sarmientojuan@gomez.biz
EDU598,Especialización,MP-262993,Narváez-Arroyo,Especialización,Castro and Sons,,fredysanchez@navarro-giraldo.info
EDU599,Especialización,MP-342804,Salamanca-Suárez,Especialización,"Saavedra, Santos and Saavedra",,patricia81@ruiz.com
EDU600,Profesional,MP-628423,Velasco-Soto,,Bermúdez-Martínez,,molinadiana@caicedo.com
EDU601,Tecnólogo,,Barragán-Benavides,,Forero PLC,,qgarcia@salazar.com
EDU602,Especialización,MP-368512,Méndez-Rincón,Especialización,Acosta Group,,jbetancur@pinto.com
EDU603,Especialización,MP-720635,Arenas Ltd,Especialización,Díaz-Duque,,mcastro@camacho-diaz.org
EDU604,Profesional,MP-246470,Parra-Velásquez,,Parra Ltd,DIPLOMADO EN ADMINISTRACION PUBLICA,jeisonnaranjo@diaz.com
EDU605,Especialización,MP-109078,"Cortés, Vargas and Silva",Especialización,Cárdenas-Jiménez,,edgargonzales@martinez-torres.com
EDU606,Profesional,MP-480002,"Guzmán, Peña and Castro",,"Núñez, Cuéllar and Vallejo",,cristina95@carvajal.com
EDU607,Bachiller,,Carvajal Ltd,,"Rivera, Mesa and Rojas",,maria89@velasco-calderon.com
EDU608,Especialización,MP-389106,Correa Ltd,Especialización,Mosquera Ltd,,luz39@garcia.info
EDU609,Profesional,MP-999187,Pedraza Inc,,"Mena, Mantilla and Ortiz",,cortesvalentina@perez.com
EDU610,Profesional,MP-465871,"Pulido, Hernández and Estrada",,Díaz PLC,,yrivera@polo-fajardo.biz
EDU611,Profesional,MP-247718,"Ramírez, Montoya and Pérez",,"Marín, Duarte and Becerra",,silvaandres@garcia-ospina.com
EDU612,Técnico,,"García, Galindo and Sánchez",,"Gómez, Castro and Castro",,danielaguzman@perdomo-mejia.com
EDU613,Especialización,MP-238563,Salazar-Guerrero,Especialización,"Cárdenas, Cantillo and Restrepo",,mariapena@melo.com
EDU614,Especialización,MP-477816,"Sandoval, Fuentes and Ramírez",Especialización,Gómez Inc,,nelly54@gonzalez-gutierrez.com
EDU615,Especialización,MP-244097,Sánchez-Ríos,Especialización,Bermúdez Ltd,,miguel90@diaz-rodriguez.com
EDU616,Profesional,MP-313030,Castellanos-Álvarez,,"Ramírez, Fernández and Gómez",,jaramillomiguel@cardona-villamizar.info
EDU617,Especialización,MP-423390,Galeano Ltd,Especialización,Rodríguez Inc,,gonzalezpatricia@lozano.com
EDU618,Técnico,,Benavides-Pabón,,Ocampo-Córdoba,GESTION PUBLICA,stevenpabon@ceballos.net
EDU619,Profesional,MP-389227,Martínez and Sons,,"Suárez, Cardona and Mejía",,doramunoz@castro.info
EDU620,Profesional,MP-232079,García Ltd,,Vargas PLC,,carmenbarragan@acosta-gonzalez.com
EDU621,Profesional,MP-931291,Blanco-Pinzón,,Meneses Inc,,zapataalvaro@perez-rodriguez.com
EDU622,Profesional,MP-444855,Uribe and Sons,,Sierra LLC,,danielafranco@rodriguez.info
EDU623,Especialización,MP-341531,Ávila-Ochoa,Especialización,"Gutiérrez, Ospina and Jaramillo",,uarias@rivera.com
EDU624,Profesional,MP-935700,Gallego-Solano,,Pacheco-Beltrán,,frendon@romero-munoz.info
EDU625,Maestría,MP-605934,Martínez-Córdoba,Maestría,Patiño Inc,GESTION PUBLICA,nelson10@arevalo.com
EDU626,Especialización,MP-530783,Obando Ltd,Especialización,Chávez Inc,,marlenylozano@pena.com
EDU627,Tecnólogo,,"Duarte, Solano and Bedoya",,"Ocampo, Ramírez and Peña",,vicenterodriguez@florez.com
EDU628,Especialización,MP-605518,Reyes Ltd,Especialización,Romero Inc,,angiepedraza@castro.info
EDU629,Especialización,MP-951887,Becerra PLC,Especialización,Zapata Inc,,gpacheco@bedoya.com
EDU630,Profesional,MP-228232,"Galvis, Ortiz and Barrios",,Bravo-Rivera,,isabelvargas@munoz.com
EDU631,Tecnólogo,,Padilla-Salamanca,,Martínez and Sons,,loaizahernando@martinez.com
EDU632,Especialización,MP-824984,Tamayo-Amaya,Especialización,Martínez-Díaz,,danilo53@avila.info
EDU633,Profesional,MP-897968,Quintero LLC,,"Correa, Gallego and Prieto",,milena78@mosquera-mejia.org
EDU634,Maestría,MP-312943,Ardila-Galvis,Maestría,Guzmán PLC,,marly59@ramirez.org
EDU635,Especialización,MP-590042,"Ángel, Rodríguez and Torres",Especialización,"Castrillón, Vargas and Torres",,david15@marin.com
EDU636,Maestría,MP-671926,Flórez-Gómez,Maestría,"Londoño, Andrade and Arteaga",,bejaranoluz@lopez-rodriguez.net
EDU637,Profesional,MP-984056,Restrepo PLC,,Cruz Group,,glozano@torres.net
EDU638,Especialización,MP-777894,"Peña, Pérez and Ramírez",Especialización,"Perdomo, Villamil and Perea",CREACION Y ADMINISTRACION DE EMPRESAS,nelson90@gallego.com
EDU639,Bachiller,,"Galeano, Ríos and Bedoya",,"Martínez, Gómez and Parada",,angel08@diaz.com
EDU640,Especialización,MP-142534,Hernández-Salamanca,Especialización,Díaz-Parra,,duvan86@barbosa-camacho.com
EDU641,Técnico,,"Rojas, Rojas and Fajardo",,Yepes-Rodríguez,,mgil@arboleda.org
EDU642,Especialización,MP-382725,Acosta-Rojas,Especialización,Giraldo Ltd,,suarezedwin@caceres-estrada.com
EDU643,Bachiller,,Vargas PLC,,Córdoba-Castro,,jose08@lara.info
EDU644,Tecnólogo,,"Barbosa, Quintero and Castellanos",,Parada-Bedoya,,mjimenez@torres-jaramillo.com
EDU645,Especialización,MP-743409,Silva and Sons,Especialización,Beltrán LLC,,andres40@guerra.com
EDU646,Maestría,MP-378710,Ojeda Group,Maestría,Rodríguez-García,,jose81@rodriguez-bernal.biz
EDU647,Especialización,MP-113140,Nieto-Rosero,Especialización,Padilla-Gutiérrez,GESTION PUBLICA,benitezolga@ramirez-palacios.com
EDU648,Especialización,MP-853494,"Beltrán, Rodríguez and Beltrán",Especialización,Oviedo-Orjuela,,carlos07@hernandez-riascos.com
EDU649,Maestría,MP-993388,Ocampo PLC,Maestría,Gaviria-Martínez,,geovannyvargas@restrepo.com
EDU650,Profesional,MP-470858,"Ortiz, Mejía and Córdoba",,Muñoz-Zapata,,albeiro58@rodriguez.info
EDU651,Profesional,MP-353317,"Campo, Murcia and Pinzón",,Jaimes Group,,vhernandez@sierra.com
EDU652,Técnico,,Martínez-Forero,,Romero-Narváez,,juan60@garcia-lara.info
EDU653,Maestría,MP-847852,Soto-Peña,Maestría,Sánchez Group,,caicedoclaudia@parra.org
EDU654,Profesional,MP-118990,González LLC,,Vera-Arias,,cramos@munoz.com
EDU655,Especialización,MP-445740,"Rangel, Osorio and Díaz",Especialización,Guerra Inc,,rojasyamile@castro-osorio.org
